step,mean_iterations,std_iterations,mean_minimum,std_minimum
0.01,1460.8,323.27783716178254,0.4709912166071592,0.09580413437101644
0.05,288.6,64.8308568507312,0.4709912166059973,0.09580413437103413
0.0833,171.4,39.13872762367218,0.4709912166052388,0.09580413437070325
0.1,142.4,32.59815945724544,0.47099121660106835,0.09580413437073575
0.1667,83.8,19.752468200202223,0.4709912165957647,0.09580413437025147
0.2,69.0,16.334013591276335,0.4709912165964073,0.09580413437320774
0.25,54.0,13.0843417870369,0.47099121660033544,0.0958041343751629
0.5,24.4,6.974238309665078,0.4709912165936861,0.09580413436263559
0.75,14.4,4.715930449020639,0.4709912165791031,0.09580413437644751
0.8,13.2,4.874423042781577,0.4709912165643463,0.09580413436190081
0.85,12.0,4.516635916254486,0.47099121656193554,0.09580413436742363
0.9,11.0,4.33589667773576,0.4709912165693277,0.09580413437635861
0.95,10.4,3.6660605559646724,0.4709912165856408,0.09580413438545046
1.0,10.8,2.9257477676655586,0.4709912165712856,0.09580413436346655
1.5,26.4,17.453939383417143,0.47099121657102117,0.09580413433905001
1.6,80.8,60.736809267527384,0.47099121657400633,0.09580413433804866
1.62,141.8,111.75759482021792,0.47099121657799403,0.09580413433989114
1.65,60004.2,48984.650928224444,0.471694371869563,0.09523001044514086
1.7,60004.6,48984.1610302759,0.48238955903981456,0.08649742669738526
1.8,60005.6,48982.93628846682,0.5019974021857375,0.07048768982706574
2.0,60009.0,48978.772152841884,0.5353307355207507,0.04327113713153205
2.5,100000.0,0.0,0.6,7.021666937153402e-17
3.0,100000.0,0.0,0.6695673869450766,0.07615796085261671
